WEEK 4,May 4,May 5,May 6,May 7,May 8,May 9
Briggs #1 (SW),,,,,,D7-3 12:30 D3-7 3:00
"Cascade Complex, C4",,D7-2,,,,
Holland Youth Park #5,,,,,,D6-4
Turner City Field,D1-6,,D4-6,,,
"Geer Park, Field 1 (East)",,,,,,
"Geer Park, Field 2 (West)",,,,,,
"Sprague HS, JV Field",,,,,,
Buena Vista Elementary,,,,,,
Shasta Ball Fields,,,C2-1,,,
Judson MS #1,C6-4,,,,,C6-3 12:30 C3-6 3:00
Crossler MS #2,B11-12,B5-13,C4-5,B9-12,,B10-14 12:30
Crossler MS #1,,,,,,
"Cascade Complex, C2",B7-1,B8-4,B8-3,,,
Briggs #3 (NW),,A2-3,A1-4,,,A15-2
Holland Youth Park #2,A11-6,A12-8,B2-7,A14-9,,A11-7
Judson MS #2,A5-13,A9-10,B13-10,B6-11,,A6-12 12:30 A4-13 3:00
Keizer Complex #5,B14-6,,B9-5,,A10-5,
Sheridan City Park,A8-14,,,A7-15,,
Walterville #2 (East),,,,,,
"Cascade Complex, C3",,,,,,
Holland Youth Park #1,E7-2,,G4-7,E9-1,E6-2,
"Silverton MS, Field S7",G3-9,H3-5,G13-8,H2-6,G7-9,G1-6
Williams Field 4,H6-2,,,H5-3,,
Keizer Complex #4,G11-5,H1-4,G14-5,,H1-4,
Mt. Angel MS #2,,,,,,
Keizer Complex #8,F14-3,F12-6,F11-4,F16-5,F15-4,
"Leslie MS, Field 1",G1-10,G2-11,E4-6,G2-10,E10-5,
"Leslie MS, Field 2",,,,,,
"Leslie MS, Field 3",F10-13,F2-14,F19-12,,,
"Leslie MS, Field 4",,,,,,
Mission Field,,,,,,
"St. Paul HS, Varsity Field",E1-8,F16-17,E2-9,F8-17,,
Walker MS #3,,,G6-14,,,G12-13
Williams Field 3,,F10-1,F13-2,,G8-3,
Moon Field,F19-11,F18-9,,F6-9,,
Mt. Angel MS #4,F5-7,,F3-8,,,
Willamina HS JV Field,F15-18,,,,,
Mark Twain Elementary,E5-3,,E7-4,,,
Sheridan HS Softball Field,,,E8-10,,,
