WEEK 6,May 18,May 19,May 20,May 21,May 22,May 23
Briggs #1 (SW),,,,,,
"Cascade Complex, C4",D4-1,,,D4-2,,
Holland Youth Park #5,,,,,,
Turner City Field,,D6-5,,,,
"Geer Park, Field 1 (East)",,,,D1-7,,
"Geer Park, Field 2 (West)",,,,,,
"Sprague HS, JV Field",,,,,,
Buena Vista Elementary,C2-3,,,,,
Shasta Ball Fields,,,C3-1,,,
Judson MS #1,C5-4,,C6-4,,,
Crossler MS #2,B9-13,,B6-12,B7-14,,
Crossler MS #1,,,,,,
"Cascade Complex, C2",B1-2,B5-4,B11-3,B2-4,,
Briggs #3 (NW),A1-4,A2-3,A1-3,A2-4,,
Holland Youth Park #2,A8-7,A6-8,A7-9,B10-8,,
Judson MS #2,A10-11,A10-13,A14-11,A15-12,,
Keizer Complex #5,A9-5,,A6-5,,,
Sheridan City Park,A13-15,A12-14,,,,
Walterville #2 (East),,,,,,
"Cascade Complex, C3",G13-2,,,G3-2,,
Holland Youth Park #1,E1-2,G5-7,,G13-7,,
"Silverton MS, Field S7",H1-6,G1-9,G6-9,G11-8,,
Williams Field 4,H2-3,,,,,
Keizer Complex #4,G6-5,H5-4,G12-5,,,
Mt. Angel MS #2,,,,,,
Keizer Complex #8,F3-4,F5-6,,,,
"Leslie MS, Field 1",G1-11,G8-10,E5-6,G14-10,,
"Leslie MS, Field 2",,,,,,
"Leslie MS, Field 3",F12-13,F14-15,F12-16,,,
"Leslie MS, Field 4",,,,,,
Mission Field,,,,,,
"St. Paul HS, Varsity Field",G14-12,E8-9,,,,
Walker MS #3,,,,,,
Williams Field 3,,F1-2,G4-3,,,
Moon Field,F10-11,F19-9,,,,
Mt. Angel MS #4,F7-8,,,,,
Willamina HS JV Field,F17-18,,,,,
Mark Twain Elementary,E3-4,,,,,
Sheridan HS Softball Field,E7-10,,,,,
