WEEK 8,June 1,June 2,June 3,June 4,June 5,June 6
Briggs #1 (SW),,,,,,
"Cascade Complex, C4",D5-2,D6-1,,,,
Holland Youth Park #5,,,,,D2-4,
Turner City Field,,,,,,C3-6 12:30 C-3 3:00
"Geer Park, Field 1 (East)",,,,,,
"Geer Park, Field 2 (West)",,,,,,
"Sprague HS, JV Field",,D4-7,,,,D5-7
Buena Vista Elementary,,,,,,
Shasta Ball Fields,,C3-2,,,,C6-2 12:30 C2-6 3:00
Judson MS #1,,,C4-6,,,C3-4 12:30 C4-3 3:00
Crossler MS #2,,,B12-14,B13-14,B12-13,C1-5 12:30 C5-1 3:00
Crossler MS #1,,,,,,
"Cascade Complex, C2",B6-4,B3-1,,B3-2,,B4-1
Briggs #3 (NW),A1-3,A2-4,,,,A12-1 12:30 A13-2 3:00
Holland Youth Park #2,B11-7,B2-8,A15-9,B9-8,,A3-8 12:30 A4-9 3:00
Judson MS #2,A7-11,A8-13,B8-9,A10-11,B7-10,A10-12 12:30 B10-11 3:00
Keizer Complex #5,A14-5,,B11-5,,,
Sheridan City Park,,A6-15,,A7-14,,
Walterville #2 (East),,,,,,
"Cascade Complex, C3",,,,,,
Holland Youth Park #1,E5-1,E8-2,G6-7,,G2-7,
"Silverton MS, Field S7",H3-6,,,,,G4-8 12:30 G8-4 3:00
Williams Field 4,H1-2,,H1-3,,H6-2,
Keizer Complex #4,G9-5,H5-4,G13-5,,,
Mt. Angel MS #2,,,,,,
Keizer Complex #8,F15-3,F13-6,F19-5,F2-6,,F1-4
"Leslie MS, Field 1",G1-11,E1-7,G4-11,E2-6,,
"Leslie MS, Field 2",,,,,,
"Leslie MS, Field 3",F19-13,F4-12,F10-16,F14-16,,
"Leslie MS, Field 4",,,,,,
Mission Field,,,,,,
"St. Paul HS, Varsity Field",G6-12,F9-17,G9-12,E4-8,E7-9,
Walker MS #3,,,,,,G10-13 12:30 G1-14 3:00
Williams Field 3,,G10-3,F18-1,,G13-3,F17-2
Moon Field,F5-10,F14-11,F12-F9,,,
Mt. Angel MS #4,F11-7,,F3-8,,F14-7,
Willamina HS JV Field,,,F8-18,,,
Mark Twain Elementary,E10-3,,E9-4,E5-3,,
Sheridan HS Softball Field,,E6-10,,,,
