WEEK 2,April 20,April 21,April 22,April 23,April 24,April 25
Briggs #1 (SW),,,,,,
"Cascade Complex, C4",,,,,D7-1,D6-2
Holland Youth Park #5,,D7-4,,,D6-4,
Turner City Field,D1-6,,D2-5,,,
"Geer Park, Field 1 (East)",,,,,,
"Geer Park, Field 2 (West)",,,,,,
"Sprague HS, JV Field",,,,,,
Buena Vista Elementary,,,,,,
Shasta Ball Fields,C1-2,,C2-1,,C1-3,
Judson MS #1,,,,C4-6,,
Crossler MS #2,B8-12,C5-4,,B1-13,,C5-6
Crossler MS #1,,,,,,
"Cascade Complex, C2",B14-4,,B5-3,B10-4,B12-1,B13-2
Briggs #3 (NW),,A3-4,A1-2,,A5-4,G6-4 12:30 G4-6 3:00
Holland Youth Park #2,A6-7,B9-7,A8-9,A12-9,A11-8,
Judson MS #2,A11-12,B3-10,B8-11,A14-13,B4-7,A13-10
Keizer Complex #5,B1-5,,B2-6,,B7-6,
Sheridan City Park,,A5-14,,A10-15,,A13-10
Walterville #2 (East),,,,,,
"Cascade Complex, C3",,,G1-3,H2-1,,
Holland Youth Park #1,E3-1,E4-2,G2-7,E8--2,,
"Silverton MS, Field S7",G7-8,H5-6,,G14-8,H6-5,
Williams Field 4,,H1-2,,,H4-3,
Keizer Complex #4,G5-2,H3-4,,G5-10,,
Mt. Angel MS #2,,,,,,
Keizer Complex #8,F17-3,F6-14,,F16-6,F1-3,
"Leslie MS, Field 1",G9-10,E8-5,E9-6,G9-11,,
"Leslie MS, Field 2",,,,,,
"Leslie MS, Field 3",F4-16,F5-15,F7-13,F8-12,,
"Leslie MS, Field 4",,,,,,
Mission Field,,,,,,
"St. Paul HS, Varsity Field",G11-12,E7-9,E5-9,F5-17,G13-12,
Walker MS #3,,,G1-13,,,
Williams Field 3,,F19-1,F19-2,,,G14-3
Moon Field,F9-11,F13-9,F12-11,,F9-10,F14-8
Mt. Angel MS #4,,,F15-7,,,
Willamina HS JV Field,F2-18,,,,F4-18,
Mark Twain Elementary,,,E1-4,,E7-3,
Sheridan HS Softball Field,,,,E6-10,,
