WEEK 5,May 11,May 12,May 13,May 14,May 15,May 16
Briggs #1 (SW),,,,,,D2-3 12:30 D3-2 3:00
"Cascade Complex, C4",,D4-1,D7-2,,,
Holland Youth Park #5,,,,,,
Turner City Field,,D5-6,,,D2-6,D1-5
"Geer Park, Field 1 (East)",,,,,,
"Geer Park, Field 2 (West)",,,,,,
"Sprague HS, JV Field",,,,,,
Buena Vista Elementary,,C1-3,,,,
Shasta Ball Fields,,,,,,C2-4 12:30 C4-2 3:00
Judson MS #1,,,,,,
Crossler MS #2,B1-13,B5-14,B8-14,B3-12,C6-5,
Crossler MS #1,,,,,,
"Cascade Complex, C2",B6-3,B11-1,B12-2,B13-4,,
Briggs #3 (NW),A3-4,,A2-3,A4-1,,G13-4 12:30 G4-13 3:00
Holland Youth Park #2,A12-7,A6-9,A5-8,B7-8,,
Judson MS #2,A5-11,B2-10,A13-11,A7-10,B4-11,B9-10 9;00 A1-13 12:30 A2-12 3:00
Keizer Complex #5,B7-5,,B9-6,,,
Sheridan City Park,A10-4,,,A14-15,,A6-15
Walterville #2 (East),,,,,,
"Cascade Complex, C3",,,,G5-2,,
Holland Youth Park #1,G10-7,E3-2,E10-1,,,
"Silverton MS, Field S7",G14-9,G5-8,H1-5,H3-6,G8-9,H1-5
Williams Field 4,H6-3,,H4-2,F1-5,,
Keizer Complex #4,H2-4,,,,,
Mt. Angel MS #2,,,,,,
Keizer Complex #8,F10-3,F14-4,F11-5,F8-6,,
"Leslie MS, Field 1",G6-11,E10-7,G4-10,E1-6,G7-1,E2-5
"Leslie MS, Field 2",,,,,,
"Leslie MS, Field 3",F17-12,F18-13,F19-15,F11-13,F8-15,
"Leslie MS, Field 4",,,,,,
Mission Field,,,,,,
"St. Paul HS, Varsity Field",G1-12,E4-9,E6-8,G2-12,E7-9,F6-17
Walker MS #3,,,,,,G13-14
Williams Field 3,,G6-3,F16-1,,G2-3,F10-2
Moon Field,,,,,F2-9,
Mt. Angel MS #4,F9-7,,F4-7,,,
Willamina HS JV Field,,,F3-18,,,
Mark Twain Elementary,E8-3,,E5-4,,,
Sheridan HS Softball Field,,,,,,
